ID;RANK;BUILDING;CITY;COUNTRY;HEIGHT_M;HEIGHT_FT;FLOORS;BUILD;ARCHITECT;ARCHITECTUTAL_STYLE;COST;MATERIAL;LONGITUDE;LATITUDE;IMAGE_URL
1;1;Burj Khalifa;Dubai;UAE;830.0;2723.0971336364746;163;2010;Adrian Smith at SOM;Neo-futurism;1.5;glass, steel, aluminum, reinforced concrete;25.1971;55.2741;https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Burj_Khalifa.jpg/240px-Burj_Khalifa.jpg
2;2;Shanghai Tower;Shanghai;China;632.0;2073.4908294677734;128;2015;Jun Xia (Gensler);;2.4;;31.2355;121.501;https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Shanghai_Tower_2015.jpg/480px-Shanghai_Tower_2015.jpg
3;3;Abraj Al-Bait Clock Tower;Mecca;Saudi Arabia;601.0;1971.7847919464111;120;2012;Dar Al-Handasah Architects;;15.0;steel/concrete composite construction;21.4189;39.8264;https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Abraj-al-Bait-Towers.JPG/550px-Abraj-al-Bait-Towers.JPG
4;4;Ping An Finance Centre;Shenzhen;China;599.0;1965.2231121063232;115;2016;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Ping%27an_IFC%2C_2014-12-21.jpg/135px-Ping%27an_IFC%2C_2014-12-21.jpg
5;5;Lotte World Tower;Seoul;South Korea;555.0;1820.8661556243896;123;2016;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Lotte_World_Tower_2016_02_14.jpg/480px-Lotte_World_Tower_2016_02_14.jpg
6;6;CN Tower;Toronto;Canada;553.33;1815.3871529579164;0;1973;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toronto_-_ON_-_Toronto_Harbourfront7.jpg/480px-Toronto_-_ON_-_Toronto_Harbourfront7.jpg
7;7;One World Trade Center;New York City;United States;541.3;1775.9186487197874;104;2014;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/OneWorldTradeCenter.jpg/500px-OneWorldTradeCenter.jpg
8;8;CTF Finance Centre;Guangzhou;China;530.0;1738.845157623291;111;2016;;;0.0;;0.0;0.0;http://www.ctbuh.org/Portals/0/Media/NewsArchive/2014/Oct/six-ten/Guangzhou-CTF.jpg
9;9;Taipei 101;Taipei;Taiwan;509.0;1669.9475193023682;101;2004;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Taipei101.portrait.altonthompson.jpg/480px-Taipei101.portrait.altonthompson.jpg
10;10;Shanghai World Financial Center;Shanghai;China;492.0;1614.173240661621;101;2008;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/SWFT.jpg/450px-SWFT.jpg
11;11;International Commerce Centre;Hong Kong;Hong Kong;484.0;1587.9265213012695;118;2010;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/International_Commerce_Centre_201008.jpg/600px-International_Commerce_Centre_201008.jpg
12;12;Petronas Tower 1;Kuala Lumpur;Malaysia;452.0;1482.9396438598633;88;1998;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Torres_Petronas_Mayo_2004.jpg/400px-Torres_Petronas_Mayo_2004.jpg
13;13;Petronas Tower 2;Kuala Lumpur;Malaysia;452.0;1482.9396438598633;88;1998;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Torres_Petronas_Mayo_2004.jpg/400px-Torres_Petronas_Mayo_2004.jpg
14;14;Zifeng Tower;Nanjing;China;450.0;1476.3779640197754;89;2010;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/f/fa/Zifeng_Tower.jpg
15;15;Willis Tower (formerly the Sears Tower);Chicago;United States;442.0;1450.1312446594238;107;1974;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Willis_Tower_night_2.jpg/400px-Willis_Tower_night_2.jpg
16;15;KK100;Shenzhen;China;442.0;1450.1312446594238;100;2011;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/1/1e/KK100.jpg
17;17;Guangzhou International Finance Center;Guangzhou;China;440.0;1443.569564819336;103;2010;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/GZIFC.jpg/500px-GZIFC.jpg
18;18;Wuhan Center;Wuhan;China;438.0;1437.007884979248;88;2016;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Wuhan_Center_in_Jan.%2C_2016..jpg/480px-Wuhan_Center_in_Jan.%2C_2016..jpg
19;19;Marina 101;Dubai;UAE;426.5;1399.2782258987427;101;2015;;;0.0;;0.0;0.0;http://www.dubaimarinaapartments.co.uk/wp-content/uploads/2013/08/marina-101.jpg
20;20;432 Park Avenue;New York City;United States;426.0;1397.6378059387207;88;2015;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/432_Park_Avenue_Viewed_at_Night.jpg/800px-432_Park_Avenue_Viewed_at_Night.jpg
21;21;Trump International Hotel and Tower;Chicago;United States;423.0;1387.7952861785889;98;2009;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/20090612_Chicago_Loop_view_of_the_L_Tracks%2C_35_East_Wacker%2C_and_Trump_International_Hotel_and_Tower_from_Wabash_Avenue.jpg/360px-20090612_Chicago_Loop_view_of_the_L_Tracks%2C_35_East_Wacker%2C_and_Trump_International_Hotel_and_Tower_from_Wabash_Avenue.jpg
22;22;Jin Mao Tower;Shanghai;China;420.5;1379.593186378479;88;1999;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/4/45/Jin_Mao_Tower.jpg
23;23;Princess Tower;Dubai;UAE;414.0;1358.2677268981934;101;2012;;;0.0;;0.0;0.0;http://dubaimarina-properties.com/uploads/marina%20images/Princess%20Tower/Dubai%20Marina%20(17).JPG
24;24;Al Hamra Tower;Kuwait City;Kuwait;413.0;1354.9868869781494;80;2011;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Alhamra_Tower.jpg/400px-Alhamra_Tower.jpg
25;25;Two International Finance Centre;Hong Kong;Hong Kong;412.0;1351.7060470581055;88;2003;;;0.0;;0.0;0.0;http://c1038.r38.cf3.rackcdn.com/group1/building6347/media/2ifc_at_twilight.jpg
26;26;23 Marina;Dubai;UAE;395.0;1295.9317684173584;89;2012;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/23_Marina_2%2C_Nov_2014.jpg/480px-23_Marina_2%2C_Nov_2014.jpg
27;27;CITIC Plaza;Guangzhou;China;391.0;1282.8084087371826;80;1997;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Guangzhou_CITIC_Plaza_DSC02461.jpg/480px-Guangzhou_CITIC_Plaza_DSC02461.jpg
28;28;Shun Hing Square;Shenzhen;China;384.0;1259.842529296875;69;1996;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/c/c5/Shun_Hing_Square.jpg
29;29;Eton Place Dalian Tower 1;Dalian;China;383.0;1256.561689376831;81;2015;;;0.0;;0.0;0.0;http://i140.photobucket.com/albums/r5/z0rgg/GoldenJubilee81f.jpg
30;30;Burj Mohammed bin Rashid;Abu Dhabi;UAE;381.2;1250.656177520752;88;2014;;;0.0;;0.0;0.0;https://www.accsal.com/wp-content/uploads/2016/01/Burj-Mohammad-1.jpg
31;31;Empire State Building;New York City;United States;381.0;1250.0000095367432;102;1931;Shreve, Lamb and Harmon;Art Deco;40948.0;;40.7484;-73.9857;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Empire_State_Building_by_David_Shankbone_crop.jpg/500px-Empire_State_Building_by_David_Shankbone_crop.jpg
32;32;Elite Residence;Dubai;UAE;380.5;1248.3595895767212;87;2012;;;0.0;;0.0;0.0;
33;33;Central Plaza;Hong Kong;Hong Kong;374.0;1227.0341300964355;78;1992;;;0.0;;0.0;0.0;
34;34;Federation Tower (East Tower);Moscow;Russia;374.0;1227.0341300964355;95;2015;;;0.0;;0.0;0.0;
35;35;Dalian International Trade Center;Dalian;China;370.1;1214.2388544082642;86;2016;;;0.0;;0.0;0.0;
36;36;The Address the BLVD;Dubai;UAE;368.0;1207.3490905761719;72;2016;;;0.0;;0.0;0.0;
37;37;Bank of China Tower;Hong Kong;Hong Kong;367.4;1205.3805866241455;70;1990;;;0.0;;0.0;0.0;
38;38;Bank of America Tower;New York City;United States;366.0;1200.787410736084;54;2009;;;0.0;;0.0;0.0;
39;39;Almas Tower;Dubai;UAE;363.0;1190.9448909759521;68;2009;;;0.0;;0.0;0.0;
40;40;JW Marriott Marquis Dubai Tower 1;Dubai;UAE;355.0;1164.6981716156006;82;2012;;;0.0;;0.0;0.0;
41;40;JW Marriott Marquis Dubai Tower 2;Dubai;UAE;355.0;1164.6981716156006;82;2012;;;0.0;;0.0;0.0;
42;41;Emirates Office Tower;Dubai;UAE;354.6;1163.385835647583;54;2000;;;0.0;;0.0;0.0;
43;42;OKO Tower - South Tower;Moscow;Russia;354.0;1161.4173316955566;85;2015;;;0.0;;0.0;0.0;
44;43;The Marina Torch;Dubai;UAE;352.0;1154.8556518554688;86;2011;;;0.0;;0.0;0.0;
45;44;Forum 66 Tower 2;Shenyang;China;351.0;1151.5748119354248;68;2015;;;0.0;;0.0;0.0;
46;45;The Pinnacle;Guangzhou;China;350.2;1148.9501399993896;60;2012;;;0.0;;0.0;0.0;
47;45;Stratosphere Las Vegas;Las Vegas;United States;350.2;1148.9501399993896;0;1996;;;0.0;;0.0;0.0;
48;46;Tuntex Sky Tower;Kaohsiung;Taiwan;347.0;1138.451452255249;85;1997;;;0.0;;0.0;0.0;
49;47;Aon Center;Chicago;United States;346.3;1136.1548643112183;83;1973;;;0.0;;0.0;0.0;
50;48;The Center;Hong Kong;Hong Kong;346.0;1135.170612335205;73;1998;;;0.0;;0.0;0.0;
51;49;John Hancock Center;Chicago;United States;344.0;1128.6089324951172;100;1969;;;0.0;;0.0;0.0;
52;50;ADNOC Headquarters;Abu Dhabi;UAE;342.0;1122.0472526550293;76;2015;;;0.0;;0.0;0.0;
53;50;Ahmed Abdul Rahim Al Attar Tower;Dubai;UAE;342.0;1122.0472526550293;76;2015;;;0.0;;0.0;0.0;
54;52;The Wharf Times Square;Wuxi;China;339.0;1112.2047328948975;68;2014;;;0.0;;0.0;0.0;
55;53;Chongqing World Financial Center;Chongqing;China;338.9;1111.876648902893;78;2014;;;0.0;;0.0;0.0;
56;54;Mercury City Tower;Moscow;Russia;338.8;1111.5485649108887;75;2013;;;0.0;;0.0;0.0;
57;55;Tianjin Modern City Office Tower;Tianjin;China;338.0;1108.9238929748535;65;2015;;;0.0;;0.0;0.0;
58;56;Tianjin World Financial Center;Tianjin;China;337.0;1105.6430530548096;79;2010;;;0.0;;0.0;0.0;
59;57;Twin Towers Guiyang, East Tower;Guiyang;China;335.0;1099.0813732147217;74;2017;;;0.0;;0.0;0.0;
60;57;Twin Towers Guiyang, West Tower;Guiyang;China;335.0;1099.0813732147217;74;2017;;;0.0;;0.0;0.0;
61;59;Shimao International Plaza;Shanghai;China;333.0;1092.5196933746338;61;2005;;;0.0;;0.0;0.0;
62;60;Rose Tower;Dubai;UAE;333.0;1092.5196933746338;72;2007;;;0.0;;0.0;0.0;
63;61;Minsheng Bank Building;Wuhan;China;331.0;1085.958013534546;68;2008;;;0.0;;0.0;0.0;
64;62;China World Trade Center Tower 3;Beijing;China;330.0;1082.677173614502;74;2009;;;0.0;;0.0;0.0;
65;62;Ryugyong Hotel;Pyongyang;North Korea;330.0;1082.677173614502;105;1992;;;0.0;;0.0;0.0;
66;62;Zhuhai St. Regis Hotel & Office Tower;Zhuhai;China;330.0;1082.677173614502;67;2017;;;0.0;;0.0;0.0;
67;62;Yuexiu Fortune Center Tower 1;Wuhan;China;330.0;1082.677173614502;66;2017;;;0.0;;0.0;0.0;
68;66;Hon Kwok City Center;Shenzhen;China;329.4;1080.7086696624756;80;2015;;;0.0;;0.0;0.0;
69;67;Keangnam Hanoi Landmark Tower;Hanoi;Vietnam;328.6;1078.0839977264404;72;2012;;;0.0;;0.0;0.0;
70;68;Al Yaqoub Tower;Dubai;UAE;328.0;1076.115493774414;69;2013;;;0.0;;0.0;0.0;
71;68;Longxi International Hotel;Huaxi Village;China;328.0;1076.115493774414;72;2011;;;0.0;;0.0;0.0;
72;68;Wuxi Suning Plaza 1;Wuxi;China;328.0;1076.115493774414;68;2014;;;0.0;;0.0;0.0;
73;71;The Index;Dubai;UAE;326.0;1069.5538139343262;80;2010;;;0.0;;0.0;0.0;
74;72;Guangxi Finance Plaza;Nanning;China;325.0;1066.2729740142822;68;2016;;;0.0;;0.0;0.0;
75;73;The Landmark;Abu Dhabi;UAE;324.0;1062.9921340942383;72;2012;;;0.0;;0.0;0.0;
76;73;Deji Plaza Phase 2;Nanjing;China;324.0;1062.9921340942383;62;2013;;;0.0;;0.0;0.0;
77;75;Yantai Shimao No.1 The Harbour;Yantai;China;323.0;1059.7112941741943;59;2015;;;0.0;;0.0;0.0;
78;76;Q1;Gold Coast;Australia;322.5;1058.0708742141724;80;2005;;;0.0;;0.0;0.0;
79;77;Wenzhou World Trade Center;Wenzhou;China;322.0;1056.4304542541504;68;2010;;;0.0;;0.0;0.0;
80;78;Burj Al Arab;Dubai;UAE;321.0;1053.1496143341064;60;1999;;;0.0;;0.0;0.0;
81;79;Nina Tower;Hong Kong;Hong Kong;320.4;1051.18111038208;80;2007;;;0.0;;0.0;0.0;
82;80;Sinar Mas Center 1;Shanghai;China;319.6;1048.556438446045;66;2016;;;0.0;;0.0;0.0;
83;81;Chrysler Building;New York City;United States;318.9;1046.2598505020142;77;1930;;;0.0;;0.0;0.0;
84;81;Global City Square;Guangzhou;China;318.9;1046.2598505020142;67;2015;;;0.0;;0.0;0.0;
85;83;New York Times Building;New York City;United States;318.8;1045.9317665100098;52;2007;;;0.0;;0.0;0.0;
86;84;HHHR Tower;Dubai;UAE;317.0;1040.0262546539307;72;2010;;;0.0;;0.0;0.0;
87;85;Chongqing IFS T1;Chongqing;China;316.0;1036.7454147338867;65;2016;;;0.0;;0.0;0.0;
88;86;Nanjing International Youth Cultural Centre Tower 1;Nanjing;China;315.0;1033.4645748138428;68;2015;;;0.0;;0.0;0.0;
89;86;Changsha IFS Tower T2;Changsha;China;315.0;1033.4645748138428;65;2017;;;0.0;;0.0;0.0;
90;88;MahaNakhon;Bangkok;Thailand;314.2;1030.8399028778076;75;2016;;;0.0;;0.0;0.0;
91;89;Bank of America Plaza;Atlanta;United States;312.0;1023.6220550537109;55;1992;;;0.0;;0.0;0.0;
92;90;Moi Center;Shenyang;China;311.0;1020.341215133667;75;2012;;;0.0;;0.0;0.0;
93;91;U.S. Bank Tower;Los Angeles;United States;310.3;1018.0446271896362;73;1989;;;0.0;;0.0;0.0;
94;92;Menara Telekom;Kuala Lumpur;Malaysia;310.0;1017.060375213623;55;2001;;;0.0;;0.0;0.0;
95;92;Ocean Heights;Dubai;UAE;310.0;1017.060375213623;82;2010;;;0.0;;0.0;0.0;
96;94;Pearl River Tower;Guangzhou;China;309.6;1015.7480392456056;71;2013;;;0.0;;0.0;0.0;
97;95;Fortune Center;Guangzhou;China;309.4;1015.0918712615966;68;2015;;;0.0;;0.0;0.0;
98;96;Jumeirah Emirates Towers Hotel;Dubai;UAE;309.0;1013.7795352935791;56;2000;;;0.0;;0.0;0.0;
99;97;Stalnaya Vershina;Moscow;Russia;308.9;1013.4514513015746;72;2015;;;0.0;;0.0;0.0;
100;98;Burj Rafal;Riyadh;Saudi Arabia;308.0;1010.4986953735352;68;2013;;;0.0;;0.0;0.0;
101;99;Wanda Plaza 1;Kunming;China;307.0;1007.2178554534912;70;2016;;;0.0;;0.0;0.0;
102;99;Wanda Plaza 2;Kunming;China;307.0;1007.2178554534912;70;2016;;;0.0;;0.0;0.0;
103;101;Franklin Center;Chicago;United States;306.9;1006.8897714614867;60;1989;;;0.0;;0.0;0.0;
104;102;Cayan Tower;Dubai;UAE;306.4;1005.2493515014647;76;2013;;;0.0;;0.0;0.0;
105;103;One57;New York City;United States;306.1;1004.2650995254518;75;2013;;;0.0;;0.0;0.0;
106;104;East Pacific Center Tower A;Shenzhen;China;306.0;1003.9370155334473;85;2012;;;0.0;;0.0;0.0;
107;104;The Shard;London;United Kingdom;306.0;1003.9370155334473;73;2012;;;0.0;;0.0;0.0;
108;106;JPMorgan Chase Tower;Houston;United States;305.4;1001.9685115814208;75;1982;;;0.0;;0.0;0.0;
109;107;Etihad Tower 2;Abu Dhabi;UAE;305.3;1001.6404275894165;79;2011;;;0.0;;0.0;0.0;
110;108;Northeast Asia Trade Tower;Incheon;South Korea;305.0;1000.6561756134033;68;2010;;;0.0;;0.0;0.0;
111;109;Baiyoke Tower II;Bangkok;Thailand;304.0;997.3753356933594;85;1997;;;0.0;;0.0;0.0;
112;110;Wuxi Maoye City - Marriott Hotel;Wuxi;China;303.8;996.7191677093506;68;2014;;;0.0;;0.0;0.0;
113;110;Shenzhen CFC Changfu Centre;Shenzhen;China;303.8;996.7191677093506;68;2016;;;0.0;;0.0;0.0;
114;112;Two Prudential Plaza;Chicago;United States;303.3;995.0787477493286;64;1990;;;0.0;;0.0;0.0;
115;113;Diwang International Fortune Center;Liuzhou;China;303.0;994.0944957733154;75;2015;;;0.0;;0.0;0.0;
116;113;KAFD World Trade Center;Riyadh;Saudi Arabia;303.0;994.0944957733154;67;2015;;;0.0;;0.0;0.0;
117;113;Jiangxi Nanchang Greenland Central Plaza 1;Nanchang;China;303.0;994.0944957733154;59;2015;;;0.0;;0.0;0.0;
118;113;Jiangxi Nanchang Greenland Central Plaza 2;Nanchang;China;303.0;994.0944957733154;59;2015;;;0.0;;0.0;0.0;
119;113;Greenland Puli Center;Jinan;China;303.0;994.0944957733154;60;2015;;;0.0;;0.0;0.0;
120;118;Leatop Plaza;Guangzhou;China;303.0;994.0944957733154;65;2011;;;0.0;;0.0;0.0;
121;119;Wells Fargo Plaza;Houston;United States;302.4;992.125991821289;71;1983;;;0.0;;0.0;0.0;
122;120;Kingdom Centre;Riyadh;Saudi Arabia;302.3;991.7979078292847;41;2002;;;0.0;;0.0;0.0;
123;121;The Address Downtown Burj Khalifa;Dubai;UAE;302.2;991.4698238372803;63;2008;;;0.0;;0.0;0.0;
124;122;Gate of the Orient;Suzhou;China;302.0;990.8136558532715;68;2015;;;0.0;;0.0;0.0;
125;122;Moscow Tower;Moscow;Russia;302.0;990.8136558532715;76;2010;;;0.0;;0.0;0.0;
126;122;We've the Zenith Tower A;Busan;South Korea;301.0;987.5328159332275;80;2011;;;0.0;;0.0;0.0;
127;122;Huachuang International Plaza;Changsha;China;301.0;987.5328159332275;66;2017;;;0.0;;0.0;0.0;
128;126;Shenzhen Zhongzhou Holdings Financial Center Tower A;Shenzhen;China;300.8;986.8766479492188;61;2014;;;0.0;;0.0;0.0;
129;127;Gran Torre Santiago;Santiago;Chile;300.0;984.2519760131836;62;2012;;;0.0;;0.0;0.0;
130;127;Abeno Harukas;Osaka;Japan;300.0;984.2519760131836;60;2014;;;0.0;;0.0;0.0;
131;127;Arraya 2;Kuwait City;Kuwait;300.0;984.2519760131836;60;2009;;;0.0;;0.0;0.0;
132;127;Aspire Tower;Doha;Qatar;300.0;984.2519760131836;36;2007;;;0.0;;0.0;0.0;
133;128;First Canadian Place;Toronto;Canada;298.0;977.6902961730957;72;1976;;;0.0;;0.0;0.0;
134;128;One Island East;Hong Kong;Hong Kong;298.0;977.6902961730957;68;2008;;;0.0;;0.0;0.0;
135;129;4 World Trade Center;New York City;United States;298.0;977.6902961730957;65;2013;;;0.0;;0.0;0.0;
136;130;Eureka Tower;Melbourne;Australia;297.0;974.4094562530518;91;2006;;;0.0;;0.0;0.0;
137;131;Comcast Center;Philadelphia;United States;297.0;974.4094562530518;57;2008;;;0.0;;0.0;0.0;